가는 편,가는 편,가는 편,가는 편,오는 편,오는 편,오는 편,오는 편,구분,구분
항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,항공사,출발 시간 (공항),도착 시간 (공항),소요 시간,카드사,가격(원)
터키항공,10:25 (ICN),23:00 (BCN),"경유 1, 19시간 35분",터키항공,19:00 (BCN),08:45 (ICN),"경유 1, 30시간 45분",성인/KB국민카드(이용실적 충족시),"1,390,600"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",KLM네덜란드항공,06:20 (BCN),08:40 (ICN),"경유 2, 19시간 20분",성인/NH채움카드,"1,392,600"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,393,600"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,397,500"
에티하드항공,19:20 (ICN),07:55 (BCN),"경유 2, 43시간 35분",에티하드항공,06:50 (BCN),22:40 (ICN),"경유 2, 32시간 50분",성인/롯데카드,"1,397,600"
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,399,300"
에미레이트항공,23:55 (ICN),08:35 (BCN),"경유 1, 39시간 40분",에미레이트항공,21:00 (BCN),21:05 (ICN),"경유 1, 17시간 05분",성인/삼성카드,"1,401,400"
에미레이트항공,23:55 (ICN),13:25 (BCN),"경유 1, 20시간 30분",에미레이트항공,21:00 (BCN),21:05 (ICN),"경유 1, 17시간 05분",성인/모든 결제수단,"1,405,500"
에티하드항공,18:00 (ICN),14:20 (BCN),"경유 2, 27시간 20분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/BC바로카드,"1,406,400"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",에어프랑스,09:50 (BCN),08:40 (ICN),"경유 1, 15시간 50분",성인/모든 결제수단,"1,406,700"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,407,200"
터키항공,10:25 (ICN),17:35 (BCN),"경유 1, 38시간 10분",터키항공,07:50 (BCN),08:45 (ICN),"경유 1, 17시간 55분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,408,200"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,11:10 (BCN),12:40 (ICN),"경유 2, 42시간 30분",성인/모든 결제수단,"1,408,700"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,411,100"
터키항공,10:25 (ICN),17:35 (BCN),"경유 1, 38시간 10분",터키항공,19:00 (BCN),08:45 (ICN),"경유 1, 30시간 45분",성인/KB국민카드(이용실적 충족시),"1,412,800"
에티하드항공,07:55 (ICN),07:55 (BCN),"경유 2, 31시간 00분",에티하드항공,11:10 (BCN),11:00 (ICN),"경유 2, 40시간 50분",성인/모든 결제수단,"1,413,600"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/롯데카드,"1,421,900"
"에티하드항공, 알리탈리아항공",18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분","에티하드항공, 알리탈리아항공",06:25 (BCN),11:40 (ICN),"경유 2, 22시간 15분",성인/모든 결제수단,"1,426,800"
에티하드항공,18:00 (ICN),10:50 (BCN),"경유 2, 23시간 50분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/롯데카드,"1,427,300"
에티하드항공,14:05 (ICN),07:55 (BCN),"경유 2, 24시간 50분",에티하드항공,11:10 (BCN),12:40 (ICN),"경유 2, 42시간 30분",성인/모든 결제수단,"1,432,200"
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/BC바로카드,"1,436,600"
중국동방항공,08:55 (ICN),11:40 (BCN),"경유 2, 33시간 45분",중국동방항공,06:20 (BCN),17:25 (ICN),"경유 2, 28시간 05분",성인/삼성카드,"1,438,800"
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,16:50 (BCN),11:40 (ICN),"경유 2, 35시간 50분",성인/롯데카드,"1,439,600"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,06:25 (BCN),22:40 (ICN),"경유 2, 33시간 15분",성인/BC바로카드,"1,444,400"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 39시간 00분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/BC바로카드,"1,448,100"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/BC바로카드,"1,453,900"
핀에어,21:40 (ICN),20:05 (BCN),"경유 1, 29시간 25분",핀에어,10:05 (BCN),11:20 (ICN),"경유 1, 18시간 15분",성인/모든 결제수단,"1,466,900"
에티하드항공,18:00 (ICN),08:55 (BCN),"경유 2, 45시간 55분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/BC바로카드,"1,468,300"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,11:10 (BCN),11:40 (ICN),"경유 1, 17시간 30분",성인/BC바로카드,"1,471,900"
에티하드항공,18:00 (ICN),08:55 (BCN),"경유 2, 45시간 55분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,481,500"
에티하드항공,00:55 (ICN),14:20 (BCN),"경유 2, 44시간 25분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,482,100"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,11:50 (BCN),22:40 (ICN),"경유 2, 27시간 50분",성인/BC바로카드,"1,485,300"
에티하드항공,18:00 (ICN),19:35 (BCN),"경유 1, 32시간 35분",에티하드항공,17:15 (BCN),22:40 (ICN),"경유 2, 22시간 25분",성인/BC바로카드,"1,488,300"
에티하드항공,00:55 (ICN),08:55 (BCN),"경유 2, 63시간 00분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,490,000"
에어프랑스,10:50 (ICN),09:00 (BCN),"경유 1, 29시간 10분",KLM네덜란드항공,19:40 (BCN),16:25 (ICN),"경유 1, 37시간 45분",성인/KB국민카드(이용실적 충족시),"1,491,000"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,494,000"
에티하드항공,18:00 (ICN),08:55 (BCN),"경유 2, 45시간 55분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,495,100"
에티하드항공,18:00 (ICN),23:15 (BCN),"경유 2, 36시간 15분",에티하드항공,11:50 (BCN),11:40 (ICN),"경유 2, 40시간 50분",성인/BC바로카드,"1,498,900"
에티하드항공,00:55 (ICN),22:45 (BCN),"경유 2, 28시간 50분",에티하드항공,11:10 (BCN),22:40 (ICN),"경유 1, 28시간 30분",성인/BC바로카드,"1,506,100"
에티하드항공,18:00 (ICN),07:55 (BCN),"경유 1, 20시간 55분",에티하드항공,06:25 (BCN),11:40 (ICN),"경유 2, 22시간 15분",성인/롯데카드,"1,508,000"
중국동방항공,16:20 (ICN),11:40 (BCN),"경유 2, 26시간 20분",중국동방항공,15:15 (BCN),20:45 (ICN),"경유 2, 22시간 30분",성인/삼성카드,"1,515,100"
