out_항공,out_출발시간,out_도착시간,out_소요시간,in_항공,in_출발시간,in_도착시간,in_소요시간,카드사,가격
KLM네덜란드항공,11:20,19:30,"경유 1, 16시간 10분",KLM네덜란드항공,18:35,09:35,"경유 1, 31시간 00분",성인/KB국민카드(이용실적 충족시),"1,810,900"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",캐세이퍼시픽항공,12:20,14:30,"경유 1, 18시간 10분",성인/모든 결제수단,"1,763,400"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",에티오피아항공,21:00,20:05,"경유 2, 39시간 05분",성인/모든 결제수단,"1,790,000"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",말레이시아항공,11:00,18:05,"경유 1, 23시간 05분",성인/모든 결제수단,"1,816,000"
에티오피아항공,21:15,17:00,"경유 2, 27시간 45분",에티오피아항공,21:00,20:05,"경유 2, 39시간 05분",성인/현대 M2/M3 Edition2(이용실적 충족시),"1,816,700"
아시아나항공,09:00,18:50,"경유 1, 17시간 50분",이집트항공,15:00,18:10,"경유 1, 19시간 10분",성인/모든 결제수단,"1,818,100"
중국동방항공,08:40,18:40,"경유 1, 18시간 00분",중국동방항공,21:20,21:20,"경유 1, 16시간 00분",성인/모든 결제수단,"1,819,500"
터키항공,10:35,20:50,"경유 1, 18시간 15분",선전항공,22:05,18:00,"경유 1, 35시간 55분",성인/모든 결제수단,"1,825,700"
스리랑카항공,11:35,20:00,"경유 1, 40시간 25분",타이항공,12:30,15:45,"경유 1, 19시간 15분",성인/모든 결제수단,"1,828,800"
영국항공,08:50,15:45,"직항, 14시간 55분",영국항공,09:10,07:00,"직항, 13시간 50분",성인/KB국민카드(이용실적 충족시),"1,830,500"
에미레이트항공,22:30,18:45,"경유 1, 28시간 15분",에미레이트항공,21:10,17:35,"경유 1, 36시간 25분",성인/모든 결제수단,"1,832,500"
일본항공,00:20,06:25,"직항, 14시간 05분",영국항공,09:10,07:00,"직항, 13시간 50분",성인/KB국민카드(이용실적 충족시),"1,839,500"
에미레이트항공,22:30,19:45,"경유 1, 29시간 15분",에미레이트항공,21:45,17:35,"경유 1, 35시간 50분",성인/모든 결제수단,"1,840,100"
톈진항공,01:30,20:00,"경유 2, 26시간 30분",에어프랑스,19:45,05:55,"경유 1, 26시간 10분",성인/모든 결제수단,"1,840,600"
에티하드항공,17:30,15:15,"경유 1, 29시간 45분",캐세이퍼시픽항공,22:15,06:45,"경유 1, 24시간 30분",성인/모든 결제수단,"1,845,900"
선전항공,19:00,19:50,"경유 1, 32시간 50분",에어인디아,09:45,12:00,"경유 1, 18시간 15분",성인/모든 결제수단,"1,847,900"
말레이시아항공,22:30,16:35,"경유 1, 26시간 05분",에티하드항공,21:55,13:00,"경유 1, 31시간 05분",성인/모든 결제수단,"1,848,400"
말레이시아항공,22:30,16:35,"경유 1, 26시간 05분",에티하드항공,09:30,13:00,"경유 1, 19시간 30분",성인/모든 결제수단,"1,851,800"
톈진항공,01:30,20:00,"경유 2, 26시간 30분",중국동방항공,21:20,21:20,"경유 1, 16시간 00분",성인/모든 결제수단,"1,481,400"
싱가포르항공,11:10,05:55,"경유 1, 26시간 45분",에어인디아,09:45,12:00,"경유 1, 18시간 15분",성인/모든 결제수단,"1,865,200"
에바항공,20:40,19:25,"경유 2, 30시간 45분",에티하드항공,09:30,13:00,"경유 1, 19시간 30분",성인/모든 결제수단,"1,831,500"
말레이시아항공,22:30,16:35,"경유 1, 26시간 05분",말레이시아항공,21:35,07:40,"경유 1, 26시간 05분",성인/모든 결제수단,"1,877,200"
말레이시아항공,22:30,16:35,"경유 1, 26시간 05분",베트남항공,17:00,08:00,"경유 1, 31시간 00분",성인/모든 결제수단,"1,879,500"
에미레이트항공,22:30,12:35,"경유 1, 22시간 05분",에미레이트항공,14:30,17:35,"경유 1, 19시간 05분",성인/모든 결제수단,"1,879,600"
에티하드항공,17:30,06:45,"경유 1, 21시간 15분",베트남항공,17:00,08:00,"경유 1, 31시간 00분",성인/모든 결제수단,"1,808,100"
베트남항공,09:30,17:05,"경유 1, 39시간 35분",KLM네덜란드항공,18:35,09:35,"경유 1, 31시간 00분",성인/모든 결제수단,"1,884,600"
에미레이트항공,22:30,15:05,"경유 1, 24시간 35분",에미레이트항공,22:15,17:35,"경유 1, 35시간 20분",성인/모든 결제수단,"1,885,600"
영국항공,08:50,15:45,"직항, 14시간 55분",영국항공,13:00,10:55,"직항, 13시간 55분",성인/모든 결제수단,"1,885,900"
영국항공,13:05,19:55,"직항, 14시간 50분",영국항공,13:00,10:55,"직항, 13시간 55분",성인/모든 결제수단,"1,885,900"
아시아나항공,20:10,18:50,"경유 1, 30시간 40분",KLM네덜란드항공,18:35,09:35,"경유 1, 31시간 00분",성인/모든 결제수단,"1,887,500"
에티하드항공,17:30,12:45,"경유 1, 27시간 15분",이집트항공,15:00,18:10,"경유 1, 19시간 10분",성인/모든 결제수단,"1,888,400"
