항공,출발 시간,도착 시간,소요 시간,카드사,가격
"아시아나항공, 하와이안항공",12:25,22:05,"경유 1, 14시간 40분",성인/삼성카드,"2,991,000"
"아시아나항공, 하와이안항공",12:40,11:30,"경유 1, 27시간 50분",성인/삼성카드,"2,992,200"
"아시아나항공, 하와이안항공",15:40,18:35,"경유 1, 31시간 55분",성인/삼성카드,"3,002,000"
"아시아나항공, 하와이안항공",11:40,14:25,"경유 1, 31시간 45분",성인/삼성카드,"3,027,000"
ANA,14:20,16:00,"경유 1, 30시간 40분",성인/롯데 Trip to 로카 카드,"3,032,900"
하와이안항공,22:00,16:05,"경유 1, 23시간 05분",성인/KB국민카드(이용실적 충족시),"3,034,400"
ANA,15:40,18:35,"경유 1, 31시간 55분",성인/롯데 Trip to 로카 카드,"3,044,300"
아시아나항공,22:00,16:05,"경유 1, 23시간 05분",성인/KB국민카드(이용실적 충족시),"3,045,000"
"아시아나항공, 알래스카항공",12:45,05:00,"경유 1, 21시간 15분",성인/모든 결제수단,"3,061,600"
대한항공,22:00,16:05,"경유 1, 23시간 05분",성인/KB국민카드(이용실적 충족시),"3,074,000"
하와이안항공,19:00,17:35,"경유 2, 51시간 35분",성인/KB국민카드(이용실적 충족시),"3,075,100"
델타항공,14:20,11:00,"경유 1, 25시간 40분",성인/모든 결제수단,"3,082,000"
아시아나항공,19:00,17:35,"경유 2, 51시간 35분",성인/KB국민카드(이용실적 충족시),"3,085,700"
ANA,12:25,22:05,"경유 1, 14시간 40분",성인/삼성카드,"3,095,300"
"아시아나항공, 알래스카항공",16:05,22:05,"경유 1, 35시간 00분",성인/모든 결제수단,"3,096,600"
대한항공,19:00,17:35,"경유 2, 51시간 35분",성인/KB국민카드(이용실적 충족시),"3,114,700"
하와이안항공,21:40,17:35,"경유 2, 48시간 55분",성인/KB국민카드(이용실적 충족시),"3,123,600"
"ANA, 하와이안항공",15:40,04:10,"경유 1, 17시간 30분",성인/모든 결제수단,"3,127,100"
델타항공,11:50,17:10,"직항, 10시간 20분",성인/현대 M2/M3 Edition2(이용실적 충족시),"3,134,000"
아시아나항공,21:40,17:35,"경유 2, 48시간 55분",성인/KB국민카드(이용실적 충족시),"3,134,200"
